ticker,strategy,fundamental_status,quality_score,backtest_score,valuation_band,decision,reason
NOW,QUALITY_DISCOUNT,OK,9,11,MEDIUM,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
MA,QUALITY_DISCOUNT,OK,8,9,MEDIUM,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
MSFT,QUALITY_DISCOUNT,OK,7,9,MEDIUM,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
NOC,QUALITY_DISCOUNT,OK,6,8,LOW,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
ACN,QUALITY_DISCOUNT,OK,6,8,LOW,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
REGN,QUALITY_DISCOUNT,OK,6,7,LOW,PAPER_QUALITY_DISCOUNT,品質與回測均合格，估值風險可接受
NFLX,DEEP_DISCOUNT,OK,7,8,MEDIUM,PAPER_DEEP_DISCOUNT,週期／高波動標的，僅限深折價紙上策略
QCOM,DEEP_DISCOUNT,OK,5,8,LOW,PAPER_DEEP_DISCOUNT,週期／高波動標的，僅限深折價紙上策略
SPOT,GROWTH_DISCOUNT,OK,9,5,MEDIUM,PAPER_GROWTH_DISCOUNT,成長與回測達門檻，限紙上觀察
PWR,QUALITY_DISCOUNT,OK,7,12,HIGH,WAIT_QUALITY_PRICE,品質合格，但估值或折價不足
LLY,QUALITY_DISCOUNT,OK,5,10,MEDIUM,SECONDARY_QUALITY_REVIEW,部分通過，需再看估值與最新財報
COST,QUALITY_DISCOUNT,OK,5,10,VERY_HIGH,SECONDARY_QUALITY_REVIEW,部分通過，需再看估值與最新財報
V,QUALITY_DISCOUNT,OK,5,7,MEDIUM,SECONDARY_QUALITY_REVIEW,部分通過，需再看估值與最新財報
ADBE,QUALITY_DISCOUNT,OK,5,7,LOW,SECONDARY_QUALITY_REVIEW,部分通過，需再看估值與最新財報
AXP,QUALITY_DISCOUNT,OK,4,10,LOW,SECONDARY_QUALITY_REVIEW,部分通過，需再看估值與最新財報
DELL,DEEP_DISCOUNT,OK,3,10,MEDIUM,CYCLE_WATCH,回測可用，但基本面週期性較高
BAC,DEEP_DISCOUNT,OK,3,8,LOW,CYCLE_WATCH,回測可用，但基本面週期性較高
WDC,DEEP_DISCOUNT,OK,3,7,MEDIUM,CYCLE_WATCH,回測可用，但基本面週期性較高
STX,DEEP_DISCOUNT,OK,1,10,HIGH,CYCLE_WATCH,回測可用，但基本面週期性較高
MU,DEEP_DISCOUNT,OK,1,7,LOW,CYCLE_WATCH,回測可用，但基本面週期性較高
PBR,CYCLE_DISCOUNT,OK,2,8,LOW,COMMODITY_CYCLE_MONITOR,等待商品週期與現金流條件
OXY,CYCLE_DISCOUNT,OK,2,6,LOW,COMMODITY_CYCLE_MONITOR,等待商品週期與現金流條件
CVX,CYCLE_DISCOUNT,OK,1,6,LOW,COMMODITY_CYCLE_MONITOR,等待商品週期與現金流條件
XOM,CYCLE_DISCOUNT,OK,1,4,LOW,COMMODITY_CYCLE_MONITOR,等待商品週期與現金流條件
KO,INCOME_DISCOUNT,OK,2,6,MEDIUM,INCOME_MONITOR,保留收益觀察
TMUS,QUALITY_DISCOUNT,OK,3,6,LOW,QUALITY_MONITOR,品質或回測證據不足
AAPL,QUALITY_DISCOUNT,OK,2,12,HIGH,QUALITY_MONITOR,品質或回測證據不足
AMZN,QUALITY_DISCOUNT,OK,2,10,MEDIUM,QUALITY_MONITOR,品質或回測證據不足
UNH,QUALITY_DISCOUNT,OK,2,8,MEDIUM,QUALITY_MONITOR,品質或回測證據不足
LIN,QUALITY_DISCOUNT,OK,1,9,MEDIUM,QUALITY_MONITOR,品質或回測證據不足
SOFI,VENTURE_MONITOR,OK,4,5,MEDIUM,VENTURE_MONITOR,早期成長，不納入一般折價規則
SNDK,DEEP_DISCOUNT,OK,3,6,LOW,SHORT_HISTORY_MONITOR,僅用上市以來資料，暫不進正式紙上交易
GEV,GROWTH_DISCOUNT,OK,5,8,VERY_HIGH,SHORT_HISTORY_MONITOR,僅用上市以來資料，暫不進正式紙上交易
CEG,GROWTH_DISCOUNT,OK,1,8,MEDIUM,SHORT_HISTORY_MONITOR,僅用上市以來資料，暫不進正式紙上交易
SKHY,DATA_PENDING,DATA_PENDING,0,2,VERY_HIGH,DATA_REPAIR,資料不足，不參與升級或淘汰
DRAM,DATA_PENDING,DATA_PENDING,0,2,VERY_HIGH,DATA_REPAIR,資料不足，不參與升級或淘汰
